accuracies,n_authors,n_samples,FE_algorithm,n_gram,FE_algorithm n-gram
0.9333333333333333,2,120,Word n-gram,1,Word n-gram-1
0.8375,2,80,Word n-gram,1,Word n-gram-1
0.8,2,40,Word n-gram,1,Word n-gram-1
0.755,5,120,Word n-gram,1,Word n-gram-1
0.7575,5,80,Word n-gram,1,Word n-gram-1
0.65,5,40,Word n-gram,1,Word n-gram-1
0.7008333333333333,10,120,Word n-gram,1,Word n-gram-1
0.7025,10,80,Word n-gram,1,Word n-gram-1
0.6274999999999998,10,40,Word n-gram,1,Word n-gram-1
0.6387499999999999,20,120,Word n-gram,1,Word n-gram-1
0.5824999999999999,20,80,Word n-gram,1,Word n-gram-1
0.5349999999999999,20,40,Word n-gram,1,Word n-gram-1
0.8916666666666666,2,120,Word n-gram,2,Word n-gram-2
0.8,2,80,Word n-gram,2,Word n-gram-2
0.8125,2,40,Word n-gram,2,Word n-gram-2
0.7449999999999999,5,120,Word n-gram,2,Word n-gram-2
0.7424999999999999,5,80,Word n-gram,2,Word n-gram-2
0.61,5,40,Word n-gram,2,Word n-gram-2
0.6874999999999999,10,120,Word n-gram,2,Word n-gram-2
0.6675,10,80,Word n-gram,2,Word n-gram-2
0.575,10,40,Word n-gram,2,Word n-gram-2
0.5895833333333333,20,120,Word n-gram,2,Word n-gram-2
0.54,20,80,Word n-gram,2,Word n-gram-2
0.45375000000000004,20,40,Word n-gram,2,Word n-gram-2
0.7583333333333334,2,120,Word n-gram,3,Word n-gram-3
0.70625,2,80,Word n-gram,3,Word n-gram-3
0.6375,2,40,Word n-gram,3,Word n-gram-3
0.6533333333333333,5,120,Word n-gram,3,Word n-gram-3
0.585,5,80,Word n-gram,3,Word n-gram-3
0.51,5,40,Word n-gram,3,Word n-gram-3
0.5299999999999999,10,120,Word n-gram,3,Word n-gram-3
0.5599999999999999,10,80,Word n-gram,3,Word n-gram-3
0.43,10,40,Word n-gram,3,Word n-gram-3
0.48666666666666664,20,120,Word n-gram,3,Word n-gram-3
0.459375,20,80,Word n-gram,3,Word n-gram-3
0.35625,20,40,Word n-gram,3,Word n-gram-3
0.6458333333333333,2,120,Word n-gram,4,Word n-gram-4
