accuracies,n_authors,n_samples,FE_algorithm,n_gram,doc_len
0.8375,2,120,POS n-gram,1,1-26
0.8375,2,80,POS n-gram,1,1-26
0.825,2,40,POS n-gram,1,1-26
0.5016666666666667,5,120,POS n-gram,1,1-26
0.45499999999999996,5,80,POS n-gram,1,1-26
0.38499999999999995,5,40,POS n-gram,1,1-26
0.33916666666666667,10,120,POS n-gram,1,1-26
0.36874999999999997,10,80,POS n-gram,1,1-26
0.31500000000000006,10,40,POS n-gram,1,1-26
0.24,20,120,POS n-gram,1,1-26
0.23000000000000004,20,80,POS n-gram,1,1-26
0.19749999999999998,20,40,POS n-gram,1,1-26
0.7083333333333333,2,120,POS n-gram,2,1-26
0.65625,2,80,POS n-gram,2,1-26
0.775,2,40,POS n-gram,2,1-26
0.5666666666666667,5,120,POS n-gram,2,1-26
0.5075000000000001,5,80,POS n-gram,2,1-26
0.505,5,40,POS n-gram,2,1-26
0.45999999999999996,10,120,POS n-gram,2,1-26
0.4325,10,80,POS n-gram,2,1-26
0.355,10,40,POS n-gram,2,1-26
0.39,20,120,POS n-gram,2,1-26
0.33624999999999994,20,80,POS n-gram,2,1-26
0.30124999999999996,20,40,POS n-gram,2,1-26
0.5875000000000001,2,120,POS n-gram,3,1-26
0.5875,2,80,POS n-gram,3,1-26
0.5375,2,40,POS n-gram,3,1-26
0.49333333333333335,5,120,POS n-gram,3,1-26
0.48999999999999994,5,80,POS n-gram,3,1-26
0.38500000000000006,5,40,POS n-gram,3,1-26
0.48,10,120,POS n-gram,3,1-26
0.44625000000000004,10,80,POS n-gram,3,1-26
0.375,10,40,POS n-gram,3,1-26
0.45916666666666667,20,120,POS n-gram,3,1-26
0.39812499999999995,20,80,POS n-gram,3,1-26
0.30500000000000005,20,40,POS n-gram,3,1-26
0.5708333333333333,2,120,POS n-gram,4,1-26
0.5625,2,80,POS n-gram,4,1-26
0.5375,2,40,POS n-gram,4,1-26
0.4566666666666667,5,120,POS n-gram,4,1-26
0.385,5,80,POS n-gram,4,1-26
0.285,5,40,POS n-gram,4,1-26
0.4574999999999999,10,120,POS n-gram,4,1-26
0.38,10,80,POS n-gram,4,1-26
0.26999999999999996,10,40,POS n-gram,4,1-26
0.42791666666666667,20,120,POS n-gram,4,1-26
0.37312500000000004,20,80,POS n-gram,4,1-26
0.24625,20,40,POS n-gram,4,1-26
0.5416666666666666,2,120,POS n-gram,5,1-26
0.5,2,80,POS n-gram,5,1-26
0.5,2,40,POS n-gram,5,1-26
0.3233333333333333,5,120,POS n-gram,5,1-26
0.2975,5,80,POS n-gram,5,1-26
0.25,5,40,POS n-gram,5,1-26
0.325,10,120,POS n-gram,5,1-26
0.295,10,80,POS n-gram,5,1-26
0.1975,10,40,POS n-gram,5,1-26
0.345,20,120,POS n-gram,5,1-26
0.27562500000000006,20,80,POS n-gram,5,1-26
0.19624999999999998,20,40,POS n-gram,5,1-26
0.7749999999999999,2,120,Word n-gram,1,1-26
0.7375,2,80,Word n-gram,1,1-26
0.775,2,40,Word n-gram,1,1-26
0.6933333333333334,5,120,Word n-gram,1,1-26
0.635,5,80,Word n-gram,1,1-26
0.6000000000000001,5,40,Word n-gram,1,1-26
0.6558333333333333,10,120,Word n-gram,1,1-26
0.6512499999999999,10,80,Word n-gram,1,1-26
0.5875,10,40,Word n-gram,1,1-26
0.6445833333333334,20,120,Word n-gram,1,1-26
0.6312499999999999,20,80,Word n-gram,1,1-26
0.5562500000000001,20,40,Word n-gram,1,1-26
0.6625000000000001,2,120,Word n-gram,2,1-26
0.64375,2,80,Word n-gram,2,1-26
0.6,2,40,Word n-gram,2,1-26
0.6233333333333334,5,120,Word n-gram,2,1-26
0.5575,5,80,Word n-gram,2,1-26
0.5,5,40,Word n-gram,2,1-26
0.6075,10,120,Word n-gram,2,1-26
0.60625,10,80,Word n-gram,2,1-26
