accuracies,n_authors,n_samples,FE_algorithm,n_gram,FE_algorithm_ngram
1.0,2,10,Word n-gram,1,Word n-gram 1
1.0,2,20,Word n-gram,1,Word n-gram 1
1.0,2,30,Word n-gram,1,Word n-gram 1
0.9800000000000001,2,50,Word n-gram,1,Word n-gram 1
1.0,2,100,Word n-gram,1,Word n-gram 1
1.0,2,200,Word n-gram,1,Word n-gram 1
1.0,2,300,Word n-gram,1,Word n-gram 1
1.0,2,500,Word n-gram,1,Word n-gram 1
1.0,3,10,Word n-gram,1,Word n-gram 1
0.95,3,20,Word n-gram,1,Word n-gram 1
0.9444444444444444,3,30,Word n-gram,1,Word n-gram 1
0.9866666666666667,3,50,Word n-gram,1,Word n-gram 1
0.9966666666666667,3,100,Word n-gram,1,Word n-gram 1
0.9933333333333332,3,200,Word n-gram,1,Word n-gram 1
0.9988888888888889,3,300,Word n-gram,1,Word n-gram 1
0.9986666666666666,3,500,Word n-gram,1,Word n-gram 1
0.975,4,10,Word n-gram,1,Word n-gram 1
0.9625,4,20,Word n-gram,1,Word n-gram 1
0.9666666666666666,4,30,Word n-gram,1,Word n-gram 1
0.985,4,50,Word n-gram,1,Word n-gram 1
0.9925,4,100,Word n-gram,1,Word n-gram 1
0.9974999999999999,4,200,Word n-gram,1,Word n-gram 1
0.9958333333333333,4,300,Word n-gram,1,Word n-gram 1
0.998,4,500,Word n-gram,1,Word n-gram 1
0.9199999999999999,5,10,Word n-gram,1,Word n-gram 1
0.99,5,20,Word n-gram,1,Word n-gram 1
0.9733333333333334,5,30,Word n-gram,1,Word n-gram 1
0.9879999999999999,5,50,Word n-gram,1,Word n-gram 1
0.9960000000000001,5,100,Word n-gram,1,Word n-gram 1
0.998,5,200,Word n-gram,1,Word n-gram 1
0.9966666666666667,5,300,Word n-gram,1,Word n-gram 1
0.9988000000000001,5,500,Word n-gram,1,Word n-gram 1
0.9333333333333333,6,10,Word n-gram,1,Word n-gram 1
0.9583333333333333,6,20,Word n-gram,1,Word n-gram 1
0.9722222222222221,6,30,Word n-gram,1,Word n-gram 1
0.9866666666666667,6,50,Word n-gram,1,Word n-gram 1
0.9966666666666667,6,100,Word n-gram,1,Word n-gram 1
0.9983333333333334,6,200,Word n-gram,1,Word n-gram 1
0.9988888888888889,6,300,Word n-gram,1,Word n-gram 1
0.998,6,500,Word n-gram,1,Word n-gram 1
0.9285714285714285,7,10,Word n-gram,1,Word n-gram 1
0.9142857142857143,7,20,Word n-gram,1,Word n-gram 1
0.9714285714285713,7,30,Word n-gram,1,Word n-gram 1
0.9742857142857144,7,50,Word n-gram,1,Word n-gram 1
0.9957142857142858,7,100,Word n-gram,1,Word n-gram 1
0.9957142857142859,7,200,Word n-gram,1,Word n-gram 1
0.9985714285714286,7,300,Word n-gram,1,Word n-gram 1
0.9977142857142857,7,500,Word n-gram,1,Word n-gram 1
0.85,8,10,Word n-gram,1,Word n-gram 1
0.89375,8,20,Word n-gram,1,Word n-gram 1
0.9083333333333334,8,30,Word n-gram,1,Word n-gram 1
0.8975000000000002,8,50,Word n-gram,1,Word n-gram 1
0.9575000000000001,8,100,Word n-gram,1,Word n-gram 1
0.9775,8,200,Word n-gram,1,Word n-gram 1
0.97875,8,300,Word n-gram,1,Word n-gram 1
0.9884999999999999,8,500,Word n-gram,1,Word n-gram 1
0.8666666666666666,9,10,Word n-gram,1,Word n-gram 1
0.8777777777777779,9,20,Word n-gram,1,Word n-gram 1
