"accuracies","n_authors","n_samples","FE_algorithm","n_gram","doc_len"
"1.0","2","10","POS n-gram","1","1-46"
"0.95","2","20","POS n-gram","1","1-46"
"0.9833333333333334","2","30","POS n-gram","1","1-46"
"1.0","2","50","POS n-gram","1","1-46"
"1.0","2","100","POS n-gram","1","1-46"
"1.0","2","200","POS n-gram","1","1-46"
"1.0","2","300","POS n-gram","1","1-46"
"1.0","2","500","POS n-gram","1","1-46"
"0.8333333333333334","3","10","POS n-gram","1","1-46"
"0.9333333333333333","3","20","POS n-gram","1","1-46"
"0.9222222222222222","3","30","POS n-gram","1","1-46"
"0.9266666666666667","3","50","POS n-gram","1","1-46"
"0.9066666666666666","3","100","POS n-gram","1","1-46"
"0.9233333333333335","3","200","POS n-gram","1","1-46"
"0.9099999999999999","3","300","POS n-gram","1","1-46"
"0.93","3","500","POS n-gram","1","1-46"
"0.75","4","10","POS n-gram","1","1-46"
"0.875","4","20","POS n-gram","1","1-46"
"0.8833333333333334","4","30","POS n-gram","1","1-46"
"0.9149999999999998","4","50","POS n-gram","1","1-46"
"0.865","4","100","POS n-gram","1","1-46"
"0.9037499999999999","4","200","POS n-gram","1","1-46"
"0.9025000000000001","4","300","POS n-gram","1","1-46"
"0.9035","4","500","POS n-gram","1","1-46"
"0.9","5","10","POS n-gram","1","1-46"
"0.89","5","20","POS n-gram","1","1-46"
"0.8533333333333333","5","30","POS n-gram","1","1-46"
"0.9400000000000001","5","50","POS n-gram","1","1-46"
"0.9040000000000001","5","100","POS n-gram","1","1-46"
"0.9269999999999999","5","200","POS n-gram","1","1-46"
"0.9266666666666665","5","300","POS n-gram","1","1-46"
"0.9148000000000002","5","500","POS n-gram","1","1-46"
"0.8333333333333333","6","10","POS n-gram","1","1-46"
"0.9","6","20","POS n-gram","1","1-46"
"0.9055555555555556","6","30","POS n-gram","1","1-46"
"0.89","6","50","POS n-gram","1","1-46"
"0.9233333333333332","6","100","POS n-gram","1","1-46"
"0.9066666666666666","6","200","POS n-gram","1","1-46"
"0.9122222222222222","6","300","POS n-gram","1","1-46"
"0.9079999999999998","6","500","POS n-gram","1","1-46"
"0.8857142857142858","7","10","POS n-gram","1","1-46"
"0.9142857142857144","7","20","POS n-gram","1","1-46"
"0.919047619047619","7","30","POS n-gram","1","1-46"
"0.9400000000000001","7","50","POS n-gram","1","1-46"
"0.93","7","100","POS n-gram","1","1-46"
"0.9285714285714285","7","200","POS n-gram","1","1-46"
"0.9295238095238096","7","300","POS n-gram","1","1-46"
"0.922","7","500","POS n-gram","1","1-46"
"0.75","8","10","POS n-gram","1","1-46"
"0.8375","8","20","POS n-gram","1","1-46"
"0.8333333333333334","8","30","POS n-gram","1","1-46"
"0.8625","8","50","POS n-gram","1","1-46"
"0.8637499999999999","8","100","POS n-gram","1","1-46"
"0.8618750000000001","8","200","POS n-gram","1","1-46"
"0.8758333333333332","8","300","POS n-gram","1","1-46"
"0.883","8","500","POS n-gram","1","1-46"
"0.7111111111111111","9","10","POS n-gram","1","1-46"
"0.8222222222222222","9","20","POS n-gram","1","1-46"
"0.7814814814814814","9","30","POS n-gram","1","1-46"
"0.8355555555555556","9","50","POS n-gram","1","1-46"
"0.8411111111111109","9","100","POS n-gram","1","1-46"
"0.865","9","200","POS n-gram","1","1-46"
"0.8659259259259258","9","300","POS n-gram","1","1-46"
"0.8728888888888887","9","500","POS n-gram","1","1-46"
"0.8","10","10","POS n-gram","1","1-46"
"0.7699999999999999","10","20","POS n-gram","1","1-46"
"0.7966666666666666","10","30","POS n-gram","1","1-46"
"0.868","10","50","POS n-gram","1","1-46"
"0.8710000000000001","10","100","POS n-gram","1","1-46"
"0.8710000000000001","10","200","POS n-gram","1","1-46"
"0.8863333333333333","10","300","POS n-gram","1","1-46"
"0.877","10","500","POS n-gram","1","1-46"
"0.7181818181818183","11","10","POS n-gram","1","1-46"
"0.7863636363636364","11","20","POS n-gram","1","1-46"
"0.7636363636363637","11","30","POS n-gram","1","1-46"
"0.8109090909090909","11","50","POS n-gram","1","1-46"
"0.8099999999999999","11","100","POS n-gram","1","1-46"
"0.8354545454545453","11","200","POS n-gram","1","1-46"
